"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"gene:Rv0008c"	182	75	170	523	562	383	682	432	193	825	657	229	88	577	579	691	338	474	464	892	129	109
"putative_sRNA:p12067_12345"	137	35.5	100.5	279.5	285.5	147.5	414	230	150	408	307.5	87.5	13.5	184.5	169	138	67.5	61.5	268.5	431	54.5	31
"gene:Rv0009"	1766.5	819.5	1886	8972.5	8041.5	5953.5	9150	4932.5	2581.5	14630.5	11194	2590.5	433.5	2589	1562.5	2773.5	1143.5	1755	10626.5	17328	1688	1124.5
"putative_UTR:m12988_13132"	49.5	19	31.33	168.33	201	166.83	298.67	147.83	78.33	423.67	286.67	140.83	31.67	158.17	205.17	152.67	81.83	59.42	268.33	430.5	52.5	26
"putative_UTR:p13017_13979"	1224	604.5	1446	6490.5	7269	5162.5	6554.5	3680.5	1814.5	10245	7472	2451.5	248.5	1937.5	1200	1767	770.5	1024.5	7371	12570	1038.5	691.5
"gene:Rv0010c"	197.42	83.33	157.17	631.5	784.33	521.17	1053.58	544.67	268	1535.33	1091.58	371.67	81.08	548.5	727	603.5	227.67	260.08	952.58	1460.16	184.58	148.75
"putative_UTR:m13559_13713"	200.42	108.17	198.83	630	815	540.67	1049.08	519.33	303.33	1496.33	1045.91	265.17	91.58	536.17	669	503.17	168.5	266.25	770.08	1326.5	263.42	195.92
"gene:Rv0011c"	308.75	192.67	320.5	913	1324.67	869.67	1424.75	756.33	478.83	1954.5	1401.08	374.83	156.08	952.33	1079.5	799.83	360.67	481.58	1153.92	1790.5	398.58	372.25
"putative_UTR:m13996_14020"	79.92	58.83	112.17	264.17	398	253.67	359.92	189.83	117.5	572.16	450.75	109.5	43.58	260.83	274.33	150.83	88.33	103.67	332.08	477.33	117.92	121.08
"gene:Rv0012"	674.83	378.83	580.5	1716.33	2079	1627	2109.83	1040.33	659.33	3418.17	2621	1004.5	332.17	1804.83	1921.67	2367.33	1210.5	1378.83	2328.67	3561.67	435.5	302.5
"putative_UTR:p14878_14913"	30.33	23.83	25	66.83	95	84	96.33	57.33	29.33	180.17	131.5	37.5	18.17	78.83	98.67	105.83	37	49.33	101.17	191.67	15.5	4.5
"gene:Rv0013"	664.33	265.83	633.5	1359.83	1563.5	1191	2448.33	1192.33	654.83	2409.67	1748	663.5	236.17	1337.83	1661.17	1350.33	567.5	606.83	1727.17	3158.67	392	260
"putative_sRNA:m15061_15317"	77.5	39	73.83	317.17	380.83	278.33	494	221	118.83	682.5	524.33	209.83	32	270.33	293.5	263.5	109	116.83	368.67	738.83	81.83	51
"putative_UTR:m15374_15589"	151	81.5	109.83	473.67	630.33	445.83	719	341.5	226.33	1034	712.83	329.33	52.5	412.83	542	373	191.5	191.83	738.17	1234.83	81.83	63
"gene:Rv0014c"	1107.5	575.5	1230.33	4851.67	6016.33	4378.33	5358	3034.5	1834.83	11422	9410.83	3003.33	712	4195.33	5612.5	4762.5	2030	2334.83	8926.17	15882.33	989.83	614
"putative_UTR:p15613_16094"	501	234	418.5	962.5	1108.5	876.5	1687	825	550.5	1489.5	1170	554	137	735.5	963	490	201.5	229	1293	2229	215	144
"gene:Rv0015c"	1062	419.5	1054.5	4024	5467.5	4286.5	5635	2688.5	1502	10681	7710	3424	628	3466.5	4954	3699	1738.5	1901	5571.5	9934	484.5	378
"putative_sRNA:p17599_17983"	66	24	37	192	245	174	243	197	111	765	531	293	12	115	129	78	61	67	485	788	56	20
"gene:Rv0016c"	1167.5	574.5	1209	4287.5	5852	4553.5	5287	2895.5	1677	8494.5	6271	2451	625	3398.5	5333	3926.5	1646.5	1663.5	6337.5	11242	674	590.5
"gene:Rv0017c"	1295	503	1099.5	4917	5818	4613	5344	3019	1798.5	8571.5	6389	2065	618.5	3085.5	4963	3850.5	1677	1853.5	8039	14380	885	612.5
"gene:Rv0018c"	1336.67	624.5	1316.17	4996.67	6579.25	5044.17	5783.67	3359	1659.67	10976.17	8508.17	3298.58	913	4751	6943.5	5894.67	2819.17	3125	7655.83	13994.92	1072.33	681.67
"putative_UTR:m23182_23269"	52.67	32.5	42.5	170.83	299.75	212.83	227.17	111.5	63.67	466.58	375.83	155.58	42	179.42	295	250.83	137	120.33	309.17	581.08	40.83	25.67
"gene:Rv0019c"	449.17	222.67	383.33	1489.16	2480.25	1771.66	1809.16	921	566.67	3839.58	2979.33	1165.08	243	1508.91	2081.83	1856.83	950.17	1020.5	2571.5	4351.24	346	274.83
"putative_UTR:m23738_23860"	335	163.17	347.17	1220.5	1610.91	1247	1292	720.5	423	2585.41	1894.66	570.25	127	901.92	1157.83	1202.66	526.33	582.5	1949.5	3598.58	250.67	177.17
"gene:Rv0020c"	3401.5	1641.17	3433.33	10686.83	14545.33	11182.33	10729	5834.5	3471.5	24310.75	20114	6484.5	1691.5	9507.75	13373.83	14337.5	6829.33	8644.67	16565	29340.66	1703.17	1305.67
"putative_sRNA:p23868_24321"	170	97	157	412	523	332	584.5	281	175	592	395	190.5	64	447.5	543	514	189	247	573	1019	91	85
"putative_sRNA:p24670_25240"	131	85.5	107.5	395.5	472	354	701.5	313	236.5	868.5	465.5	211	89.5	490	428.5	1091	589	677	406	595.5	108	94
"putative_sRNA:p25278_25392"	1	1.5	7.5	23.5	30	18	44	19	9.5	79.5	59.5	16.5	6.5	45	28.5	53.5	14	40	45	106.5	6.5	14
"putative_UTR:m25445_25504"	122.5	70	126.5	412	445.5	421.5	360	187.5	109	925	819	251.5	72.5	332	431	425.5	212.5	267.5	593	1121.5	94	52
"putative_sRNA:p25740_25965"	418.5	220	384	1137	1359.5	919	2258	1035	532	1915.5	1322.5	502	140.5	1087	917.5	890	411	550.5	1369	2270	342	297.5
"gene:Rv0021c"	182	67	136	478.5	582	389	587	354.5	212	1203	944.5	346.5	61	376	400.5	499	238.5	321.5	832	1424	115	88.5
"putative_sRNA:p26134_26382"	49.5	33	57	218	276.5	212	415	137	84	329.5	231.5	78	50.5	295.5	286.5	252.5	122	141.5	203	300	53.5	49.5
"gene:Rv0022c"	6	3	6	14.5	27	15	31	4.5	9	43	29.5	9.5	0	18	24.5	46	14.5	11.5	18	54	4	11.5
"gene:Rv0023"	165.5	69.5	136.5	445	794	558	465.5	297.5	146	788	659.5	262.5	75	454.5	889	740	363.5	402	1008	1819.5	65	31
"gene:Rv0024"	197.17	86	124.5	555	931.67	623.17	546	313.33	209.33	1285.33	949.67	384.5	93.5	451	957.83	852.33	397	582	898.33	1712	67.5	40
"gene:Rv0025"	112	70.5	114.83	331.83	385.33	301	340.25	196.33	142.67	582.17	501.17	170.83	32.17	264.17	352.83	365.17	173	203.67	512.67	821.5	63.33	61
"putative_UTR:p29608_29682"	62.83	33.67	51.83	120.67	148	129.67	203.92	87.5	57.33	294.33	220	76.83	16	109.83	138.5	173	75.67	82.17	204.83	289.5	39.67	31.33
"putative_sRNA:m29672_30184"	98	75	103	192	317	227	393	227	122	376	276	84	51	316	341	360	177	179	320	454	185	128
"putative_UTR:p29690_29721"	23.83	20.17	13.67	52.33	77.5	58.33	93.92	52.5	29.5	118.67	94.17	34.17	6.83	42.67	56.5	43.33	30.33	27.67	73.67	112.33	20.83	9.33
"gene:Rv0026"	281.17	121.67	254.67	830.17	965.33	793.83	1125.92	668.83	315.67	1700	1376.33	577.67	87	526.33	611.33	529.17	251	273.5	1064.5	1710.33	185.17	129.33
"gene:Rv0027"	137.17	54	122.67	261	317.83	261.83	348.33	197.83	103.67	405.33	317.83	99.5	47	227.83	180.5	256.83	113	142	272	584.83	125	83
"putative_sRNA:m31259_31967"	255	169	315	397	581	462	749	418	211	1170	868	171	32	274	289	301	121	162	771	1396	211	165
"gene:Rv0028"	142.17	45.5	86.67	285	260.33	230.83	307.83	168.83	111.67	377.33	299.33	117.5	60	191.83	222.5	233.33	107.5	131	283	518.33	116.5	79
"putative_sRNA:p31859_32007"	52.67	42	48.17	99.33	154.5	119.33	158.33	93.33	54.17	179.33	110	59	21	92.33	99	131.33	65	77	130	219.83	56	40
"gene:Rv0029"	433.17	254.5	396.5	1101.33	1244.67	1108.5	1679.33	868.67	518.33	2133.5	1551.33	645.5	142.5	735	921.83	667.67	294.5	326.5	1372.83	2231.67	397.67	294.5
"putative_UTR:p33155_33186"	16.67	12.5	23	34.17	53.17	46.5	56.33	32.17	14.83	67	40.83	18.5	2	23.5	21.33	18.17	5	8	33.83	71.33	16.17	10
"gene:Rv0030"	91.67	64	70.5	237.83	262.67	195	465.33	223.33	113.83	573	433.83	173.17	29.5	165.5	116.83	103.67	38.5	59.5	344.33	469.33	141.67	118.5
"putative_sRNA:m33460_33794"	109	41	74	164	227	161	198	128	106	341	236	69	35	230	311	364	206	204	265	452	125	67
"gene:Rv0031"	38	14	42.5	139.33	113	73	169	89.83	35	275	214	83.33	12.5	63.5	44	57	36	26	156	263.5	59.5	45
"gene:Rv0032"	172.67	64.5	144.17	1032.5	1106	840.67	504.83	332.33	206.83	1645.83	1073.5	469.67	58.5	316.67	304	241	121.83	146.67	795.33	1449.33	133.33	86.33
"gene:Rv0033"	32.5	12	15.5	176.33	186.83	138.67	64.5	47	31	210.83	149.33	55.17	3.5	41.5	21.17	13.33	7.83	13.67	126.33	221.67	22.33	9.83
"gene:Rv0034"	47.5	11.5	34	288.33	305.83	228.17	117	87.5	52	385.83	242.83	107.67	5.5	62.5	42.17	43.33	20.83	39.67	201.33	338.17	17.83	17.83
"gene:Rv0035"	263.33	103	279.33	1719.83	1831.83	1657	790.17	606.17	332.17	2264.5	1522.33	568.5	76.5	529.33	391.67	297.33	132.5	179	1328	2137.83	129.5	95
"putative_sRNA:m37575_37955"	109	34	91	167	244.5	158	409	211	131	346.5	192.5	111	36	173	216	132	71	101	310	339	65	90
"putative_sRNA:m38455_38597"	21.5	11	44.5	136.17	154.83	104	139	89.5	41.5	400.17	309	85.5	20.5	129.5	152.83	102.5	38.5	54.5	231.33	320	35.5	39
"putative_UTR:m38654_39055"	228	125.5	188.5	641.67	810.33	616.5	863.5	532.5	297	1415.67	1035.5	382	106	629	698.33	582	287	346.5	966.83	1634	212	153.5
"gene:Rv0036c"	608	249	425	1371.17	1808.33	1292.5	1874	1099	625.5	2530.17	1865	840.5	191.5	1231	1868.33	1394	635	989.5	1744.33	3176.5	299	207.5
"putative_sRNA:p39302_39703"	81	32	58	221	243.5	225.5	425.5	216	111	430	344	123	61	213	198	166	84	102	211	362	48	47
"gene:Rv0037c"	631.5	252.5	447	1596	1888	1485	2230.5	1261	791	3106.5	2112	1016	303	1555.5	1796.5	1583.5	768.5	877.5	1575.5	3062.5	261.5	219
"gene:Rv0038"	989	440	696	1715	2761	2220	3064	1445	989	2967	2242	972	254	1520	2559	1685	954	890	2191	3601	308	231
"gene:Rv0039c"	519.5	153.5	309.5	1266.5	1708.5	999.5	1868.5	994	531.5	2882.5	2076.5	856.5	134	681	850.5	625.5	275	407	1712.5	2935.5	207.5	91
"gene:Rv0040c"	932.5	448	696.5	3015	3505	2000	2706.5	1889.5	1092	6190.5	5017	2063	217	975.5	1267.5	592	274	384.5	7784	13774	495	376.5
"putative_UTR:m43366_43400"	104	34.5	72	369.5	404.5	246.5	269	176.5	113.5	718	530.5	180.5	17	87.5	104	59.5	31	28.5	763.5	1310.5	53.5	36.5
"gene:Rv0041"	1031	491	906	2678	3317	2627	3558	2028	1216	6070	4799	1903	323	2029	2014	2229	1106	1320	5232	9027	729	530
"putative_sRNA:m45268_45647"	46	86	150	125	187	203	193	75	50	195	163	42	13	135	123	510	222	205	215	356	95	104
"putative_UTR:m46296_46580"	418.5	222.5	522	1356.5	1576.5	1109.5	1650.5	926	455	3345.5	2413	623	120	702	761.5	296.5	134.5	180.5	1940	3450.5	258.5	145
"gene:Rv0042c"	842.17	489.5	911.5	2021.5	2572	1718.33	2789.33	1481.33	837.67	4386.83	3946.5	1195	199	1060.33	1308.17	597.33	271.67	322.33	3794.5	6926.17	350.17	202.67
"putative_UTR:m47208_47365"	26.17	14	29.5	154	195.5	132.83	126.33	72.33	30.67	300.83	296.5	95	15.5	120.83	87.67	71.33	44.67	38.33	372	722.67	25.17	24.67
"gene:Rv0043c"	209.83	104.5	198.33	667.67	880.33	584.33	732.83	438.67	217.33	1256	1059	359.17	109	592.67	624.5	466.83	269.83	284.83	1301.33	2456	138.33	110.83
"putative_sRNA:p47403_47791"	79	35	75	225	276	221	492	220	133	521	386	111	13	98	125	66	18	15	283	396	50	35
"putative_UTR:m48101_48133"	34.17	16	22.83	89.17	127.83	88.5	111.5	65.83	39.17	154.17	99	31.67	9.5	58.33	79.83	68	28.17	32.5	127.33	220.33	21.67	12.67
"gene:Rv0044c"	309.17	119.5	284.33	690.67	859.83	632.5	833.5	492.33	215.67	1244.67	950	316.67	93	685.33	674.83	497.5	222.67	264	1111.83	1938.83	184.17	85.67
"gene:Rv0045c"	356	151.17	296.17	1306.83	1742.5	1183	1449.17	851.17	489	2953.16	2402	945.67	170.5	1090.5	1105.67	1735.5	826.67	1152.33	1798.33	3501.66	945.83	368
"putative_UTR:m49940_50020"	170	60.67	125.67	483.83	542.5	403.5	623.17	354.17	219	851.16	666	283.17	46	308.5	352.67	386	182.17	330.83	655.83	1396.66	315.33	162
"gene:Rv0046c"	886.67	344	796	2728.66	3066	2522.16	3250.33	1967.83	1380.17	5547.66	4709.16	1336.67	244.83	1573.67	1523.83	2458.17	1179.17	2417.5	4471.16	8000.66	2435.83	889.33
"putative_sRNA:p50578_51199"	10780	4312	7186	18615	20687	15926	47630	23305	13883	19318	12537	5713	3647	24366	21394	24999	11481	12055	11944	21203	7060	6308
"putative_UTR:m51125_51184"	94.17	37.33	102	311	313.67	286.67	430.67	237.17	155.17	661	510.83	118	25.33	160.17	171.5	185	94	202.33	458.67	829.66	250.5	95.33
"gene:Rv0047c"	324	170.33	433.33	1214.83	1282.5	1189.5	1914.33	1017.67	594	2674.33	1783	508.17	131.33	732.33	976	1916.83	1066.33	1394.5	1535.83	2449.66	847.5	399.5
"putative_UTR:m51728_51827"	102.83	52	92.5	303.83	302.5	233.83	443.17	246	140.83	652.67	426.5	148.17	18	148.17	220.33	472.67	264.33	327.33	483	592.67	189	98.17
"gene:Rv0048c"	138.33	66.5	143.83	555.5	627.33	375.33	544.17	297.5	169.33	1214	884.5	280.67	71	412.17	436.5	805.33	388.83	483.67	822.17	1513.5	120	67.17
"putative_sRNA:p51981_52645"	336	254	361	1634	2069.5	1785.5	1539.5	840	489.5	2062.5	1243.5	524.5	273	1506.5	1789	2136	1072	1203.5	957.5	1688.5	1126.5	851
"gene:Rv0049"	921.83	409.83	644.83	2465.17	2868.33	2203.5	2905.33	1684.5	1027.67	4096.83	3131.5	1007.33	351.67	1965.17	2114	3728.33	1909.5	2535	3528.83	6316.33	585.17	369.5
"putative_UTR:p53245_53662"	785.33	288.33	607.33	2106.67	2877.33	2272	2460.83	1415	761.17	4417.33	3310	1465.83	422.67	2123.17	2343.5	4482.33	2202	3110.5	2995.33	5598.33	549.67	378.5
"gene:Rv0050"	2220.33	784.83	1762.83	7369.17	9971.33	7497	6787.33	3984.5	2202.67	13866.83	11028.5	4302.33	1010.67	5825.17	7253	9217.83	4201	4633.5	9368.33	16893.83	1347.17	939.5
"gene:Rv0051"	750.5	262.67	659.17	3115.17	4243.5	3316.83	2956.5	1633.5	841.33	5693.83	4423.5	2007.17	416.67	2490.83	3051	2940.5	1539.83	1410.5	3609	6043.83	504.5	364.83
"putative_UTR:p57379_57409"	18	3.17	12.67	59.67	108	101.33	70	42	20.33	132.33	104	35.17	7.17	56.83	82.5	70.5	28.83	18.5	64.5	115.83	9	2.83
"gene:Rv0052"	217.5	86.5	150.83	908.83	1201.17	1108.5	963	527.33	281.67	1977	1609.33	727.67	165.67	781.5	1174.33	859.83	412.17	376.33	1050	1730.5	96.17	68.33
"putative_UTR:p58110_58191"	158.75	62.67	159.42	423.83	397.83	306.67	658.83	379.5	201.25	1394.5	1081.33	236.5	40.33	462.08	282.67	441.42	234	267.17	755.83	1351.17	229.25	122.5
"gene:Rv0053"	252.58	120.17	221.92	672.5	707.5	506.67	1062.5	570.33	331.42	2712.08	2081.33	712.83	94.83	861.75	549.67	854.75	414	455.67	1555.16	2713.08	378.08	204.33
"putative_UTR:p58483_58585"	134.75	64.67	118	370.83	393.5	264.17	552.33	275.83	198.08	1393.33	1049.91	331.17	65.67	459.08	358.42	453.92	175	248.25	855.75	1535.08	176.08	104.83
"gene:Rv0054"	471.33	273.92	404.83	1211.08	1553.33	961.42	1893.16	1080.33	709	5254.99	3802	1417.75	217.33	1669.67	1635.08	1451	685.58	868.17	3253	5230.41	471.83	311.92
"putative_UTR:p59081_59121"	96.33	46.67	101.25	259.92	291.17	176.33	342.42	227.83	131	1167.74	864.33	290.58	48.92	324.92	301.25	278.83	123.58	147.75	667.08	1091.24	86.5	60.83
"gene:Rv0055"	164.58	87.58	181.58	493.33	545.83	349	623.5	360.58	261.33	1934.41	1511.41	378.5	81.58	592.08	459.08	394.08	158	256.42	1385.33	2176.66	162.75	108.67
"putative_UTR:p59377_59408"	53.83	23.33	49.5	124.25	135.83	86.33	131.33	78.42	64.67	561.16	364.83	124	25.75	151.92	114.92	127.67	38	56.42	416.08	615.75	31.67	28.67
"gene:Rv0056"	593.67	243.67	515.42	1432.33	1777.16	1159.83	1754	1001.75	713.08	5444.16	3995.66	1578.08	252.58	1651	1456.25	1274.33	534.33	714.08	3882.16	6501.99	432.25	333.92
"putative_UTR:p59868_59895"	52.5	22.5	37.33	129.33	132.17	100.83	174.25	82.08	74	549.25	398.25	165.58	21	154.83	153.92	140.17	60.42	65.75	412.75	646.16	35.17	23
"gene:Rv0057"	373.67	188	334.58	1184.42	1457	972.08	1325.17	800.5	509.33	4654	3313.58	1328	177.5	1146	1288.92	903	417.25	498	2818.83	4933.49	299.25	234.83
"gene:Rv0058"	1388	463.17	901.33	5156.33	6354	4720.5	3321.17	2647.83	1938	12574.67	9901.83	3734.5	434.5	2638.5	4350.33	2309	1185.83	1268	9848.33	16312.58	479.83	387.83
"putative_UTR:p63021_63199"	102.5	44.17	68.83	427.33	526.5	455.5	248.67	186.83	173.5	710.5	613.33	168	25.5	149	216.33	113	51.83	57	680.83	977.83	37.83	28.33
"putative_sRNA:m63173_63565"	132	86	107	162	228	169	491	233	188	367	245	84	35	225	276	245	142	122	199	378	181	113
"gene:Rv0059"	206.5	55.67	163.33	1225.83	1490	1226.5	554.67	509.83	328	2405.5	1980.83	603	89.5	513.5	719.83	340.5	150.83	157.5	2017.83	3170.33	98.33	94.33
"gene:Rv0060"	771.5	469.5	857	2518	2942	2391	1990	1485	1036	4518	3827.5	1177	292.5	1699	2491.5	1442.5	581.5	679	3760.5	5930.5	351	306.5
"putative_UTR:m64746_65011"	796.5	413.17	737.83	3264.17	3087.67	2382.83	4443.33	2442.67	1291.83	3963	2664.5	1210.67	642.67	3820.83	2001.67	3000.83	1386	1476.83	3467.33	6314.5	841.33	650.17
"putative_UTR:p64968_65108"	190	114	191	523	556	551	462.5	370	229	803.5	697.5	239.5	57	319	514.5	279.5	136.5	122	631	971.5	89	93
"gene:Rv0061c"	888	453.17	836.83	3492.17	3515.67	2637.83	4879.33	2682.17	1478.83	4281.5	2927.5	1193.17	552.67	3434.33	2100.67	2687.33	1206	1441.33	3683.33	6396.5	931.83	657.67
"putative_UTR:m65351_65529"	109.5	67.67	111.33	556.67	587.67	404.33	750.33	439.17	201.33	816.5	707	188.17	71.67	519.83	294.67	551.83	224	303.83	548.33	931	150.83	97.17
"gene:Rv0062"	371	177	330	1160	1336	873.5	1044	557.5	296	4451.5	3671.5	1501	124	678	473.5	809	412.5	496	3379	5870.5	148.5	90
"gene:Rv0063"	315	127	209.5	901	1307.33	900.67	749	491.33	257.5	2874.83	2349	824.17	56	388.83	395	242.5	151.33	205.5	2245.83	4239.5	152.5	115.5
"putative_UTR:p68442_68619"	290.5	254	309	466.5	741.33	590.17	933.5	484.83	316.5	900.33	627.5	291.67	86.5	424.83	666	739.5	394.83	279.5	663.83	1051.5	204.5	181.5
"gene:Rv0064"	2138.67	1463.42	2362.08	3110.75	4222.08	3555	5852.08	2862.33	1880.17	6945.58	5412.42	1960.58	491.17	2909.33	4261.25	5301.75	2719.83	2415	4033	6750.33	1733.17	1265
"putative_UTR:p71560_71588"	19	12.42	24.58	30.42	37.25	29.83	70.42	28	9.33	86.75	69.42	37.92	4.83	37.5	39.92	56.92	32.5	33.5	41.83	57.67	20.33	14.33
"gene:Rv0064A"	166	66.92	132.58	204.75	273.08	207.67	390.42	182.17	92.5	448.08	369.08	121.08	28.67	190	214.75	309.42	145.67	152.5	250.33	391.67	111.5	98.33
"gene:Rv0065"	193.83	76.25	176.25	343.58	470.92	326.67	521.58	251.33	121	771.42	593.08	238.58	59.83	290	317.58	342.92	160.33	110	422.17	599.83	188.5	143.33
"putative_UTR:m72102_72273"	104.5	52	90	275.5	333	268.5	249	134	105	500	378	171	30	177	147.5	153	77	82	411.5	747.5	61	43
"gene:Rv0066c"	890.5	464.5	852.5	2376	2882	2081	2241	1362	950	4961	3943.5	1359	321	1650	1887	1931	899.5	1224.5	4655.5	8159.5	661.5	496.5
"putative_sRNA:p72675_72805"	16	5	18	53	41	35	54	40	9	42	58	18	12	36	33	65	22	22	18	47	25	28
"putative_sRNA:p74191_74512"	71	77	109	161	195	156	304	139	110	267	206	73	34	171	179	187	87	67	114	170	80	87
"gene:Rv0067c"	44	43.5	96.5	120.5	240	184.5	234	94	48	275	212.5	70	18	87	132.5	143	63.5	90.5	163	346	41.5	31.5
"gene:Rv0068"	84	38	133	241	265	220	420	199	97	275	221	86	24	211	242	195	108	85	217	418	81	49
"putative_UTR:m76166_76236"	54.5	22	42.5	166	214	179	290	179	75	321	261	94.5	11.5	116.5	89	88.5	50.5	40.5	139.5	243.5	54	40
"gene:Rv0069c"	578	295.5	602	1979.5	2504.5	2002.5	2792.5	1814	983.5	4008	2993.5	1156.5	170.5	1263	1172.5	1457.5	688	617	2228.5	3785.5	545	398.5
"gene:Rv0070c"	464.5	220.5	447.5	1409.5	1537.5	1119	1772	1206.5	711	3059.5	2434.5	792.5	217.5	1239	667.5	1134.5	501	621.5	1642	2895	773	559.5
"putative_UTR:m78897_79301"	820	489	692	1445	1196	792.5	2373.5	1771.5	1132.5	3140.5	2133	558.5	162.5	984.5	463	1039.5	438.5	868	2046	3501	1412	1047
"gene:Rv0071"	14	10	35	45.5	85	44	72.5	48.5	30	121	93	36.5	10	57	90	63.5	25.5	29.5	85	191.5	17	18.5
"putative_sRNA:m79758_80403"	158	88	109	376	520	378	720	389	260	953	660	223	48	392	310	322	155	201	387	641	122	93
"putative_UTR:p80257_80623"	456	335.5	597.5	1364	2096.5	1464	1406	918.5	490	3293	2466.5	1012.5	305	1633.5	1509.5	838.5	440	602	1525.5	2719.5	468.5	337
"gene:Rv0072"	1196	532.5	1047	2663.5	3107.5	2338	3683.5	1968.5	1266	5942.5	4575	1702	309	1916	2487	1250	565.5	655	4171	6555.5	535.5	439.5
"putative_sRNA:m81189_81855"	116	70	140	333	359	221	608	376	170	564	400	110	50	406	331	281	113	143	369	558	235	212
