"ERR2103718_sorted"	"ERR2103722_sorted"	"ERR2103723_sorted"
"gene:Rv0022c"	1.5	3.5	7.5
"gene:Rv0023"	74	99.67	79.83
"gene:Rv0024"	96.33	93.67	83.83
"gene:Rv0025"	195	174.33	135
"putative_UTR:p29608_29682"	44.67	35.83	27.42
"putative_sRNA:m29672_30184"	67.5	79.5	71.5
"putative_UTR:p29690_29721"	12.83	21.83	14.42
"gene:Rv0026"	195.67	280.5	209.83
"gene:Rv0027"	64	87.5	63
"putative_sRNA:m31259_31967"	213.67	201.5	171.33
"gene:Rv0028"	50	58.17	50.67
"putative_sRNA:p31859_32007"	20	26.67	17.33
"gene:Rv0029"	237	239.83	287
"putative_UTR:p33155_33186"	22.67	15	17
"gene:Rv0030"	69.17	89.5	74.5
"putative_sRNA:m33460_33794"	11.5	30	17
"gene:Rv0031"	7.5	16.5	21.5
"gene:Rv0032"	247.5	199	205.33
"gene:Rv0033"	47.5	34.67	39.17
"gene:Rv0034"	58.83	34.67	42.67
"gene:Rv0035"	227.83	204.67	185.17
"putative_sRNA:m37575_37955"	30	40	34
"putative_sRNA:m38455_38597"	24	37.5	38
"putative_UTR:m38654_39055"	69.5	139.33	87.5
"gene:Rv0036c"	294.25	335.17	266.5
"putative_sRNA:p39302_39703"	21	38	25.5
"gene:Rv0037c"	267.75	259.33	216.17
"gene:Rv0038"	410.5	415.83	358.33
"gene:Rv0039c"	25.5	48.5	37.5
"gene:Rv0040c"	284.33	542	419.67
"putative_UTR:m43366_43400"	19.33	32.67	26.5
"gene:Rv0041"	707.33	960.17	693
"putative_sRNA:m45268_45647"	11	41	28.5
"putative_UTR:m46296_46580"	94.83	155.83	179
"gene:Rv0042c"	267.17	479.67	397.5
"putative_UTR:m47208_47365"	42.33	91.83	66.33
"gene:Rv0043c"	216.67	292.33	213.08
"putative_sRNA:p47403_47791"	8	19	14.33
"putative_UTR:m48101_48133"	38.33	39.5	28.92
"gene:Rv0044c"	102.83	135.67	89.17
"gene:Rv0045c"	199	245.5	166.25
"putative_UTR:m49940_50020"	144	108.17	83.25
"gene:Rv0046c"	1378.33	1069.17	761.5
"putative_sRNA:p50578_51199"	2776	2227.5	2260.83
"putative_UTR:m51125_51184"	93.67	92.42	63.67
"gene:Rv0047c"	316.67	325.5	253.17
"putative_UTR:m51728_51827"	115	116.08	95.67
"gene:Rv0048c"	114.5	119.67	87.33
"putative_sRNA:p51981_52645"	98	115.5	102.33
"gene:Rv0049"	234.83	272.83	235.58
"putative_UTR:p53245_53662"	109.33	128.83	108.58
"gene:Rv0050"	1859.5	2252.58	1535.67
"gene:Rv0051"	421.58	558.5	397.17
"putative_UTR:p57379_57409"	12.5	19.92	13.5
"gene:Rv0052"	123.33	197.25	121.33
"putative_UTR:p58110_58191"	95.67	138	91.67
"gene:Rv0053"	244.67	319.67	198
"putative_UTR:p58483_58585"	105.25	156.33	104.67
"gene:Rv0054"	271.37	373.53	255.58
"putative_UTR:p59081_59121"	58.12	97.03	64.75
"gene:Rv0055"	162.7	243.62	160.75
"putative_UTR:p59377_59408"	90.78	114.87	71.08
"gene:Rv0056"	524.87	674.45	484.92
"putative_UTR:p59868_59895"	81.67	108.83	76.25
"gene:Rv0057"	177.33	389	192.58
"gene:Rv0058"	868.33	1694.5	1073.67
"putative_UTR:p63021_63199"	55.33	122.33	59.17
"putative_sRNA:m63173_63565"	51.5	55.5	37
"gene:Rv0059"	98.17	286.33	151.17
"gene:Rv0060"	649.33	1159.67	774.83
"putative_UTR:m64746_65011"	173.83	196.5	129.5
"putative_UTR:p64968_65108"	71	108.67	73.17
"gene:Rv0061c"	417.33	478.5	294
"putative_UTR:m65351_65529"	236.17	291.17	230
"gene:Rv0062"	81	205.33	129
"gene:Rv0063"	81.5	159.5	113
"putative_UTR:p68442_68619"	133.5	126.33	105.67
"gene:Rv0064"	1371.5	1253	947.25
"putative_UTR:p71560_71588"	12	7	9.67
"gene:Rv0064A"	45	35.83	32.83
"gene:Rv0065"	60.5	91.83	59.67
"putative_UTR:m72102_72273"	67.83	78.5	70.5
"gene:Rv0066c"	606.33	914.83	608.5
"putative_sRNA:p72675_72805"	7	11	12
"putative_sRNA:p74191_74512"	33.5	14	20
"gene:Rv0067c"	26	26.5	24
"gene:Rv0068"	24	44.33	28
"putative_UTR:m76166_76236"	20.83	33.5	30.33
"gene:Rv0069c"	398	628.33	474.5
"gene:Rv0070c"	217.83	336.42	290.17
"putative_UTR:m78897_79301"	385	412.92	405
"gene:Rv0071"	17.5	35	25.83
"putative_sRNA:m79758_80403"	100	106.5	87.5
"putative_UTR:p80257_80623"	85.2	152.67	77
"gene:Rv0072"	814.78	1091	747.17
"putative_sRNA:m81189_81855"	69.5	80.5	83.33
"gene:Rv0073"	883.5	1078.17	812
"putative_UTR:p82669_82747"	45.67	64.83	46.83
"gene:Rv0074"	510.33	579.5	429
"gene:Rv0075"	671	649	517
"putative_UTR:p85169_85508"	226	277.17	255.83
"gene:Rv0076c"	51.5	41.17	46.5
"gene:Rv0077c"	31	37.67	35.33
"gene:Rv0078"	22	31	23
"putative_UTR:m87168_87207"	30	31	20.67
"gene:Rv0078A"	477	494.92	373.17
"gene:Rv0078B"	350.5	404.75	289.83
"putative_UTR:p88167_88203"	128.33	99.08	160.08
"gene:Rv0079"	1071.33	1006.42	1446
"gene:Rv0080"	271	527.67	722.58
"putative_UTR:p89481_89574"	34.5	62.08	77
"gene:Rv0081"	31.67	89.42	124.83
"gene:Rv0082"	41	79.33	138.33
"gene:Rv0083"	62.83	160.83	203.67
"gene:Rv0084"	90.83	205.5	238.83
"gene:Rv0085"	17.33	57.75	55.5
"gene:Rv0086"	92.5	229.5	218.17
"gene:Rv0087"	76.83	189.5	165.83
"gene:Rv0088"	538.17	617.25	518.83
"putative_UTR:p97602_97757"	119.67	130.75	127.33
"gene:Rv0089"	91.67	96.17	70.83
"gene:Rv0090"	25	22.5	16.5
"gene:Rv0091"	73	76	70
"gene:Rv0092"	253.83	292.33	247.83
"gene:Rv0093c"	82	89.5	68.5
"gene:Rv0094c"	5	24	9
"putative_sRNA:p103804_104664"	161.5	132	133
"gene:Rv0095c"	14	20.5	18
"gene:Rv0096"	15.5	191.33	17
"gene:Rv0097"	67.33	531.33	49.5
"gene:Rv0098"	28.83	334.83	28
"gene:Rv0099"	124.17	948.17	105.83
"putative_sRNA:m108530_109526"	4	7	3
"putative_sRNA:m109544_110564"	105.83	316.5	177
"gene:Rv0100"	13.67	146.83	15.83
"gene:Rv0101"	425.17	2888.17	394.83
"putative_sRNA:m112598_112895"	27.5	40.5	31.83
"putative_UTR:p117540_117713"	9.5	69.33	12
"gene:Rv0102"	551	644.33	426.5
"putative_UTR:p119700_120134"	152	189.83	146.75
"putative_UTR:m119837_119914"	24.58	50.33	35
"gene:Rv0103c"	481.08	1017.33	433.67
"gene:Rv0104"	207.83	151.5	124
"putative_sRNA:m122618_123231"	81	142.17	98.5
"gene:Rv0105c"	0	1	0
"gene:Rv0106"	22	24	17
"putative_UTR:m125508_125642"	69.33	66.5	49.75
"gene:Rv0107c"	2179.75	1667.5	1465.5
"putative_sRNA:p127497_127625"	1	0	0
"putative_UTR:m130542_130894"	3142.25	2467.25	2293.17
"gene:Rv0108c"	3110.67	2496.42	2342.08
"gene:Rv0109"	225.33	153	152.5
"gene:Rv0110"	126	176.33	121.83
"putative_UTR:p133860_133949"	20.5	40.83	28.42
"gene:Rv0111"	210.5	382.75	263.25
"putative_sRNA:m134166_134354"	14	23.5	9
"putative_sRNA:m134802_134977"	5	9	5
"putative_UTR:p136008_136086"	15.5	35.58	16.17
"putative_UTR:p136157_136288"	24.67	85.58	62.33
"gene:Rv0112"	187.17	428.33	377.83
"putative_UTR:p137246_137318"	26.5	65.25	65.33
"gene:Rv0113"	123.5	233.25	260.67
"putative_sRNA:m137361_137693"	27.5	45.33	48
"putative_UTR:p137910_137940"	19.17	32.08	36.5
"gene:Rv0114"	91.83	180.75	126.83
"putative_sRNA:m138471_138603"	7.5	7	1
"gene:Rv0115"	154.83	278.17	247.67
"putative_UTR:p139674_139712"	16	29.67	26.33
"putative_UTR:m140233_140266"	33.5	13.5	18.5
"gene:Rv0116c"	350.5	242	216
"gene:Rv0117"	133	90.5	67.83
"gene:Rv0118c"	413	353	430.83
"putative_sRNA:p142180_142247"	7	4	2
"putative_sRNA:p142311_142586"	16.5	22.5	10.5
"gene:Rv0119"	123.5	122.33	147
"putative_UTR:m145502_145626"	50.33	33.5	33.5
"gene:Rv0120c"	1244.5	683.17	595.67
"putative_UTR:m147772_147804"	36.83	22.67	22.33
"gene:Rv0121c"	45.5	57.33	63.33
"gene:Rv0122"	26.33	29	29
"gene:Rv0123"	46.33	40.5	40
"putative_sRNA:m148860_149537"	23	103	74.5
"gene:Rv0124"	35.83	19	12.5
"putative_sRNA:m150743_151130"	16	27	22
"gene:Rv0125"	429.33	438.83	343.83
"putative_UTR:p152216_152323"	44.5	61	40.33
"gene:Rv0126"	593.17	716.33	493.08
"putative_UTR:p154130_154231"	79.17	81.67	65.33
"gene:Rv0127"	411.67	451.08	308
"putative_sRNA:m155536_155841"	16	25.5	16
"gene:Rv0128"	144.33	166.83	164.67
"putative_sRNA:p156474_156619"	17.5	30.83	24.33
"putative_UTR:m156550_156577"	18.5	47	35.83
"gene:Rv0129c"	656.17	1497.08	1016.58
"putative_UTR:m157601_157640"	34.83	90.92	57.08
"gene:Rv0130"	47	35	38.5
"gene:Rv0131c"	196.83	200.5	168.5
"gene:Rv0132c"	56	48.5	36.5
"putative_sRNA:p160276_160799"	47	41.5	31.33
"gene:Rv0133"	119.33	214	152.17
"putative_UTR:p161475_161520"	24.83	35	24.67
"gene:Rv0134"	333.5	473.67	321.25
"putative_UTR:m162581_162643"	24.5	28.5	26.67
"gene:Rv0135c"	283.92	463.67	281.67
"putative_UTR:p162674_162907"	48.5	92.58	65.25
"putative_UTR:m163250_163292"	23.08	50.67	31
"putative_UTR:p163308_163365"	11	17.33	9.5
"gene:Rv0136"	216	297	184.17
"putative_UTR:m164670_164711"	31.33	15	10.83
"putative_UTR:p164692_164920"	58.5	55.33	41.17
"gene:Rv0137c"	403.08	279	221.33
"gene:Rv0138"	100.5	158.5	103.67
"gene:Rv0139"	319.92	379.17	250.67
"putative_sRNA:m166345_166663"	7.5	5	10
"putative_UTR:p166850_166909"	26.75	42.17	30.83
"gene:Rv0140"	167.25	261.83	249.17
"putative_sRNA:m166988_167100"	47.33	43	38.5
"putative_UTR:m167124_167270"	110.83	107.5	80.83
"gene:Rv0141c"	470.67	468.5	370
"putative_UTR:p167291_167710"	173.5	200.5	193.67
"gene:Rv0142"	141.5	101.83	110.83
"putative_UTR:m168648_168703"	30	34.67	24.33
"gene:Rv0143c"	337	449.83	299
"putative_sRNA:p168866_168997"	23.5	8.5	13
"gene:Rv0144"	2318.67	2238.5	1777.03
"putative_sRNA:m170485_170808"	11	13	4
"putative_UTR:p171127_171214"	549.75	470.33	410.7
"gene:Rv0145"	1563.58	1640.58	1448.5
"putative_sRNA:m171665_171774"	3	0	0
"putative_UTR:p172169_172210"	88.42	93.08	82
"gene:Rv0146"	330.92	345.58	287.83
"putative_UTR:p173144_173237"	54.67	45.83	51.83
"gene:Rv0147"	1143.33	971.83	737.83
"putative_UTR:p174759_174832"	91.33	83.67	67.67
"gene:Rv0148"	605.5	652	515.42
"gene:Rv0149"	642.33	617.67	505.25
"gene:Rv0150c"	5.5	21.5	13
"putative_UTR:p176669_176736"	51.33	40.67	26.83
"putative_sRNA:p177161_177337"	1	4.33	6.5
"gene:Rv0151c"	407.5	454.17	358.83
"putative_sRNA:p177764_177901"	27	27.5	33
"gene:Rv0152c"	69.5	88	77.67
"gene:Rv0153c"	210.17	269.83	194.83
"gene:Rv0154c"	312.33	462.33	314
"gene:Rv0155"	65	213.83	128.83
"gene:Rv0156"	59.5	149.83	94.17
"putative_sRNA:m184757_185096"	148	107	91.5
"gene:Rv0157"	336.17	772.42	460.17
"putative_UTR:m186270_186494"	297.5	190.17	242
"putative_UTR:p186480_186558"	25.83	51.08	36.5
"gene:Rv0157A"	241.5	148.17	174
"putative_UTR:p186752_186784"	5.5	28.92	20
"gene:Rv0158"	89.5	259.75	179.5
"putative_UTR:p187430_187744"	45.5	185.17	145
"gene:Rv0159c"	101	142.75	81
"gene:Rv0160c"	199.5	79.33	65
"gene:Rv0161"	56	61	33.5
"gene:Rv0162c"	54.33	80.5	56.5
"gene:Rv0163"	94	87.5	69
"putative_UTR:m193483_194143"	115.33	239.17	232
"gene:Rv0164"	543.83	863.33	581.67
"putative_UTR:p194112_194609"	207.83	365.5	241.17
"gene:Rv0165c"	474.83	431.83	449.83
"putative_UTR:m194816_194931"	81.67	78.67	82
"putative_UTR:p194917_194992"	538.03	404.08	425.83
"gene:Rv0166"	5950.95	4316.83	3926.67
"putative_sRNA:m196396_197084"	52.5	90.33	84
"putative_UTR:p196658_196860"	2081	1352.08	1402.33
"gene:Rv0167"	2694.25	2126	1803.42
"gene:Rv0168"	1336.75	1194.5	934
"gene:Rv0169"	3766	3331.42	2592.92
"putative_sRNA:m199170_199505"	23	33	16
"gene:Rv0170"	3587.92	3116	2272.5
"putative_sRNA:m200060_200228"	7	16	19
"putative_sRNA:m200665_201024"	33.5	41	39
"gene:Rv0171"	3494.17	3008.67	2412.33
"putative_sRNA:m201374_201675"	13	17.83	20
"putative_sRNA:m202312_202816"	39	45.5	44.5
"gene:Rv0172"	5068.67	4473.75	3604.58
"gene:Rv0173"	3332.5	2924	2311.17
"gene:Rv0174"	8168.91	6962.41	5458.41
"putative_UTR:p206779_206813"	849.16	649.58	547.08
"gene:Rv0175"	2090.28	1735.74	1338.66
"gene:Rv0176"	1053.87	1056.83	745.67
"gene:Rv0177"	1626.17	1887.75	1371
"gene:Rv0178"	1285.17	1560	1165.42
"putative_sRNA:m209164_209397"	11.5	20.5	14.5
"putative_UTR:m209582_209702"	18	61.5	43.33
"putative_UTR:p209673_209846"	95	168.33	119.83
"gene:Rv0179c"	182.83	624.5	436.17
"putative_sRNA:p210651_210826"	4	1.5	1
"putative_UTR:m210813_210891"	11	16.67	13.17
"gene:Rv0180c"	258.5	320.83	244.92
"putative_sRNA:p211025_211878"	135	154.33	156.83
"putative_UTR:m212251_212276"	22.5	34.67	20.25
"gene:Rv0181c"	194.33	251	160.25
"gene:Rv0182c"	265	329.33	246.67
"gene:Rv0183"	173	289.83	239.67
"putative_UTR:p214928_214968"	16	30.33	18.67
"gene:Rv0184"	136.33	279.42	196.17
"gene:Rv0185"	84.58	148.58	96.83
"putative_UTR:p216225_216268"	22.92	21.33	15.58
"gene:Rv0186"	551.92	755.17	508.75
"putative_UTR:m217619_218389"	437.75	261	557.67
"gene:Rv0186A"	243.25	125	347.67
"putative_UTR:m218552_218601"	142.17	69.83	192.67
"gene:Rv0187"	55.83	92	88
"putative_UTR:p219368_219485"	46.17	66.5	50.83
"gene:Rv0188"	210	230.5	215.83
"putative_UTR:p219918_220679"	66.5	82.33	70.17
"gene:Rv0189c"	602.83	814	607
"putative_UTR:p221821_221870"	93.17	85.58	97.5
"gene:Rv0190"	237.67	208.75	268.17
"putative_UTR:p222162_222288"	85.67	84.25	115.5
"gene:Rv0191"	134.33	161.25	151.83
"putative_sRNA:m222658_222768"	2	1	0
"putative_sRNA:m223415_223580"	9	11	8
"gene:Rv0192"	421.17	555	400.83
"gene:Rv0192A"	34.17	46.5	34
"putative_UTR:p224665_224840"	68.83	90.5	66.33
"gene:Rv0193c"	63	102.83	82
"gene:Rv0194"	30	48	30
"gene:Rv0195"	1	4	3
"gene:Rv0196"	40.5	189.17	96
"gene:Rv0197"	142	525.67	349.33
"putative_sRNA:m234232_234395"	4	3	4
"gene:Rv0198c"	900.83	1241.83	852.5
"putative_sRNA:p235158_235469"	11	18	15
"putative_sRNA:m236523_236663"	61.5	62.5	59.5
"gene:Rv0199"	169.83	195.83	153.5
"gene:Rv0200"	258	306.83	214
"putative_UTR:m237758_237891"	47	69.33	40.67
"gene:Rv0201c"	235.5	260.5	207.5
"gene:Rv0202c"	1315	1433.67	1178.17
"putative_UTR:m241293_241317"	36.5	50.67	32
"gene:Rv0203"	53	137.5	66
"gene:Rv0204c"	228.83	260.17	197
"putative_sRNA:p242083_242175"	29.5	67.5	34.33
"gene:Rv0205"	174.33	185.67	166.17
"putative_UTR:m244352_244483"	44.33	79.17	53.5
"gene:Rv0206c"	2906.17	3589.33	2776.75
"putative_sRNA:p244621_245197"	30	38	37
"putative_sRNA:p247296_248005"	257.83	353.5	248.17
"putative_UTR:m247319_247383"	166.67	223.92	182
"gene:Rv0207c"	421	682.33	518.5
"gene:Rv0208c"	178.5	325	250
"gene:Rv0209"	59.33	57.83	69.5
"gene:Rv0210"	91.83	89.5	66
"putative_sRNA:m251346_251618"	5	3	1
"putative_UTR:p251674_251781"	78.33	89.83	62
"gene:Rv0211"	851.17	945.33	741.17
"putative_UTR:p253603_253934"	54.5	81.5	69.33
"gene:Rv0212c"	67.5	83.5	59.33
"gene:Rv0213c"	79	119.5	80.83
"putative_sRNA:p254870_255922"	119	163	119.5
"gene:Rv0214"	83.5	152.5	76.5
"putative_UTR:m257659_257782"	43.33	43.67	51.83
"gene:Rv0215c"	170.5	172.17	146.83
"gene:Rv0216"	169.5	181.5	166
"gene:Rv0217c"	46	76	32.5
"putative_sRNA:m260906_261421"	41	68.5	45
"gene:Rv0218"	70.83	91	69
"gene:Rv0219"	37	25.83	30.5
"gene:Rv0220"	1793.83	1985.42	1395.17
"putative_UTR:p264024_264066"	129.67	127.58	101.83
"gene:Rv0221"	782	814.42	629.42
"putative_UTR:p265477_265506"	46.17	59.25	41.58
"gene:Rv0222"	431.75	454.75	308.42
"putative_UTR:p266296_266380"	51.83	57.83	54
"gene:Rv0223c"	316.5	253.5	172.83
"gene:Rv0224c"	67.5	91	51.33
"putative_sRNA:p267867_268140"	21	42.33	40
"gene:Rv0225"	258.5	392	293.33
"putative_UTR:p269818_269842"	26	31	21.83
"gene:Rv0226c"	120.5	169.5	101.5
"gene:Rv0227c"	998.33	984.08	796.17
"putative_UTR:m272840_272865"	26.33	36.33	24
"gene:Rv0228"	44	89.5	56.5
"putative_UTR:m274234_274305"	41.33	63.67	51.5
"gene:Rv0229c"	238	422.33	301
"gene:Rv0230c"	200.33	216.33	182.5
"gene:Rv0231"	558.42	593.67	530
"putative_sRNA:m277094_277453"	28	29.83	27
"putative_UTR:p277765_277868"	51.08	41.67	51.17
"gene:Rv0232"	854.42	1119.75	977.67
"gene:Rv0233"	1576.58	1734.08	1623.17
"putative_UTR:p279530_279586"	33.67	49.33	58.83
"gene:Rv0234c"	201.67	223.17	176.5
"putative_sRNA:p279627_280152"	58.5	80	104.5
"gene:Rv0235c"	131.5	137.83	112.42
"putative_sRNA:p281567_281857"	55.5	88	53
"putative_UTR:m282615_282648"	14.5	36.5	28.25
"gene:Rv0236c"	331	507.17	370.17
"putative_sRNA:p284118_284715"	61	65.5	52
"putative_sRNA:p285209_285888"	109	116	78
"putative_UTR:m286852_286897"	24.67	38.92	23.42
"gene:Rv0236A"	108.5	182.33	142.92
"putative_UTR:m287072_287111"	62.75	107.75	75.42
"gene:Rv0237"	145.5	261.5	191
"gene:Rv0238"	239.67	335.5	265.92
"putative_UTR:p289043_289103"	100.33	120.58	108.08
"gene:Rv0239"	260.83	395.83	306.75
"gene:Rv0240"	55.5	139.08	79.58
"putative_UTR:m289683_289811"	73.5	76.25	61.5
"gene:Rv0241c"	580.17	625.58	389.83
"gene:Rv0242c"	820.83	852.08	684.75
"putative_UTR:m292030_292097"	71.17	70.08	67.75
"putative_UTR:p292069_292170"	81.17	144.17	113.17
"putative_sRNA:m292165_292386"	6	10.5	9.5
"gene:Rv0243"	1277.75	1331.83	1080
"gene:EBG00000313378"	156	129.5	154
"putative_UTR:m293712_293797"	16.5	27.33	20.5
"gene:Rv0244c"	555.5	1033.17	633.08
"putative_UTR:m295634_295713"	25	50.83	30.08
"putative_UTR:p295716_296004"	97	168.17	116.83
"gene:Rv0245"	260	220.67	177.33
"putative_sRNA:m296080_296559"	13	46	33
"gene:Rv0246"	152.5	160.5	113
"putative_UTR:m297620_298115"	147.67	318.17	247.33
"gene:Rv0247c"	664.33	1083.42	726.83
"gene:Rv0248c"	1200.08	2056.17	1394.67
"putative_sRNA:p298918_299407"	77.5	79	50.5
"putative_sRNA:p299962_300257"	17	16	12
"putative_UTR:m300804_300833"	39.08	73.92	69.83
"gene:Rv0249c"	449.75	998.67	784.67
"putative_UTR:m301656_301734"	120	200.92	192.33
"gene:Rv0250c"	591.42	857.83	621.75
"putative_UTR:m302029_302172"	169.42	264.33	204.58
"putative_sRNA:p302067_302472"	34	51	57.33
"gene:Rv0251c"	102	139.67	135.83
"putative_UTR:m302653_302703"	19	22.83	20
"gene:Rv0252"	201.33	518.92	3017.16
"putative_sRNA:m304340_304439"	13	6	10
"putative_UTR:p305428_305452"	5.83	24.25	149.66
"gene:Rv0253"	24.83	69.75	402.33
"putative_UTR:p305810_305995"	8	24	123.67
"gene:Rv0254c"	32.5	41	35
"gene:Rv0255c"	141.33	167.75	203.83
"gene:Rv0256c"	157.5	216.83	238.83
"putative_sRNA:p307974_308315"	7	15	11
"putative_sRNA:p308788_309319"	222.33	256.83	192
"putative_UTR:m309548_309616"	51.5	62.83	73.5
"gene:Rv0257"	33.5	39	26.5
"gene:Rv0258c"	60.5	91.5	94.5
"gene:Rv0259c"	1.5	15.5	112
"gene:Rv0260c"	3.5	15	130.5
"gene:Rv0261c"	18	35.5	150.5
"gene:Rv0262c"	150.83	185.33	179.83
"gene:Rv0263c"	266.33	324.17	243.83
"gene:Rv0264c"	105.5	126.83	95
"gene:Rv0265c"	170	224.5	172
"gene:Rv0266c"	289	269.67	222.17
"putative_sRNA:m321250_321436"	39	49.33	41.5
"gene:Rv0267"	7	19	80.5
"putative_sRNA:m321724_321838"	69	63	57
"putative_UTR:m322306_322763"	412	451.67	419.45
"gene:Rv0268c"	557.33	491	434.28
"putative_sRNA:p323060_323181"	15.5	27.33	23
"putative_UTR:m323274_323312"	6.83	9.5	5.5
"putative_sRNA:p323317_324056"	16.5	35.5	22
"gene:Rv0269c"	81.33	89.67	66.33
"putative_UTR:m324532_324599"	1	0.83	0.5
"gene:Rv0270"	2007.83	1711.25	1426.33
"putative_UTR:m326223_326265"	35	36.83	25
"putative_UTR:p326250_326779"	701.83	509.5	453.17
"gene:Rv0271c"	589.17	722.33	489.67
"putative_sRNA:p327116_327260"	21	29	17
"putative_UTR:m328462_328574"	21.33	43	31.17
"gene:Rv0272c"	267.17	373.5	277.67
"putative_sRNA:p329102_329533"	31	50	73
"gene:Rv0273c"	172.33	226	169.33
"putative_UTR:m330326_330932"	93.5	129.33	70.5
"putative_UTR:p330391_330421"	28.33	56.83	37.17
"gene:Rv0274"	124.33	182.67	148.67
"gene:Rv0275c"	207	263.75	189.17
"putative_UTR:p331650_331747"	264.5	289.33	281.83
"putative_UTR:m331659_331694"	52.83	58.42	48
"gene:Rv0276"	1757.92	1613.42	1371.92
"putative_UTR:p332669_333110"	220.75	191.17	148.92
"gene:Rv0277c"	300	653.83	406.83
"gene:Rv0278c"	76.83	69	88
"putative_sRNA:p333855_334074"	0	0	0
"putative_sRNA:p334990_335081"	0	0	0
"gene:Rv0279c"	53	51.5	58.5
"putative_sRNA:p337235_337616"	0	0	1
"putative_sRNA:p338204_338434"	1	0	0
"putative_UTR:p339322_339363"	0	0	0
"gene:Rv0280"	15.5	16	11
"putative_sRNA:m339662_340045"	26.5	33	17
"gene:Rv0281"	203.33	318.17	217.5
"putative_sRNA:m341328_342075"	110.5	96	61
"putative_UTR:p341907_342129"	222.17	315.92	315.75
"gene:Rv0282"	1593	2040.42	1559.83
"gene:Rv0283"	817.67	896.17	740.08
"putative_sRNA:m345334_345941"	60	65.5	54
"gene:Rv0284"	2077.67	2434.33	1884.33
"gene:Rv0285"	134.5	176	116.83
"gene:Rv0286"	1144.15	905.45	776.32
"putative_UTR:p351477_351524"	445.9	279.12	265.32
"gene:Rv0287"	973.01	634.2	565.81
"putative_UTR:p351819_351847"	396.43	294.25	254.4
"gene:Rv0288"	1300.51	1063.16	971.15
"gene:Rv0289"	1387.25	1227.17	1059.42
"putative_UTR:p353037_353082"	199.67	168	154.67
"gene:Rv0290"	951.67	785.25	633.33
"gene:Rv0291"	680.33	583.67	553
"gene:Rv0292"	384.33	387	342.33
"putative_UTR:m356705_356861"	103.33	131	106.83
"gene:Rv0293c"	686.67	842.17	690.83
"putative_UTR:p356876_356986"	57.5	63.33	57.83
"putative_sRNA:p357616_357751"	8	8	8
"gene:Rv0294"	62	54.83	57
"putative_sRNA:m358236_358306"	11	18	17
"gene:Rv0295c"	249	417.33	244.17
"gene:Rv0296c"	223	372.5	266.17
"putative_UTR:p361262_361333"	136.5	102.33	101.33
"gene:Rv0297"	362.83	243.83	223.33
"gene:Rv0298"	440.67	618.67	463.92
"gene:Rv0299"	303.25	434.75	322
"putative_UTR:p363779_363825"	62.5	121.58	84.5
"gene:Rv0300"	189.83	315.92	225.92
