"SRR5689224_sorted"	"SRR5689225_sorted"	"SRR5689226_sorted"	"SRR5689227_sorted"	"SRR5689228_sorted"	"SRR5689229_sorted"	"SRR5689230_sorted"	"SRR5689231_sorted"	"SRR5689232_sorted"	"SRR5689233_sorted"	"SRR5689234_sorted"	"SRR5689235_sorted"
"putative_sRNA:p12067_12345"	114.83	116.5	69.5	99.5	105.5	27.5	54	30	19	15.5	30	40
"gene:Rv0009"	5952.83	5528.92	186	256.33	3115.08	1592.33	1700.92	1611.62	164.33	265.83	804.83	587.33
"putative_UTR:m12988_13132"	500.2	469.45	101.5	131.33	265.33	93.83	105.83	70.67	48	58.5	125.08	234.83
"putative_UTR:p13017_13979"	3600.58	3378.58	194.5	225.33	1577.75	554.5	1161.25	1216.78	124	212.5	357.67	361.83
"gene:Rv0010c"	1146.28	1092.53	172.33	254.83	750.67	259.67	209.08	148.67	165.58	163	267.25	501.17
"putative_UTR:m13559_13713"	922.87	819.7	201.5	293.58	787.58	251.5	252.83	173.75	258.33	282.83	215.08	314.5
"gene:Rv0011c"	1597.78	1464.12	933.17	1139.5	1588.42	525.83	723.08	544.92	741.5	811.42	491.25	436.17
"putative_UTR:m13996_14020"	203.17	191.58	169	176.17	258.67	86.67	123.83	77.83	115.92	126.92	71.83	59.5
"gene:Rv0012"	2533.73	2578.68	636.75	835.83	3949.83	2889.33	2008.08	1645.42	842.37	886	1178.92	1580.42
"putative_UTR:p14878_14913"	207.65	203.01	61.75	71.33	318.16	187.5	132.92	111.25	64.03	86.5	102.42	141.58
"gene:Rv0013"	1312.73	1193.51	321.75	407.17	1245	589	465.58	344.42	238.7	298.83	304.42	690.17
"putative_sRNA:m15061_15317"	545.83	490.17	150	185.67	222.17	58.83	131	147.25	91.5	66.83	61.33	147
"putative_UTR:m15374_15589"	707.75	697.33	148.5	194.33	342.42	100.42	237	221.75	127.5	109	140.25	196.58
"gene:Rv0014c"	6066.25	5957.92	743.83	1041.67	1845.25	424.92	1629.5	1482.5	613.5	585.67	573.92	1020.92
"putative_UTR:p15613_16094"	1105.25	1008.5	144.5	199.67	533.08	134.5	553.83	459	125.33	202	131.5	329.08
"gene:Rv0015c"	6475.08	6546.45	1032.92	1501.75	2227.58	824.17	2224.95	1828.5	671	821.08	912.83	1399.25
"putative_sRNA:p17599_17983"	1430	1467.25	635	766.17	932.67	485.75	714.33	536.33	652.83	666	629.67	442.5
"gene:Rv0016c"	6391.2	5857.95	1759.08	2303.92	2920.33	912.33	2037.2	1582.25	842.67	908.25	992.75	1459.92
"gene:Rv0017c"	5046.2	4812.58	492.5	606.17	1660.92	397.83	2290.5	1612	396.17	499.5	421.83	796.83
"gene:Rv0018c"	6707.03	6567.58	963.5	1203	2900.5	923.67	1804.45	1291.08	922.17	857.17	860.17	1591
"putative_UTR:m23182_23269"	876.14	838.41	172.83	196.5	445.16	136.75	263.9	182.92	137.58	172.33	112.5	225
"gene:Rv0019c"	3165.59	2900.52	613.83	752.56	1707.33	480.08	969.23	852.83	575.83	621.25	393.5	797.08
"putative_UTR:m23738_23860"	2130.03	1990.78	357.83	484.65	1314.83	330.67	921.25	833.08	418.75	466.5	325	680.92
"gene:Rv0020c"	23017.95	22183.98	5128.67	6905.42	16932.08	5320.37	11069.58	10051.92	5229.25	5076.25	5745.75	10381.67
"putative_sRNA:p23868_24321"	396.25	420	130.33	172.67	295.83	112.83	174	136.33	43.75	68	122.33	198.67
"putative_sRNA:p24670_25240"	329	428.75	189	273.83	986.33	309.83	208.83	103.67	43	73	411.33	975.33
"putative_sRNA:p25278_25392"	89.83	72.33	105	149	92.83	22.5	35.83	32.75	4.5	16	17	63
"putative_UTR:m25445_25504"	566.33	546.28	279.5	304.42	619.25	240.03	249.58	247.67	84.17	117.5	170.5	270.58
"putative_sRNA:p25740_25965"	942.42	949.42	336	377.5	1540.33	600.5	364.83	220.58	200.25	300	720.83	967.5
"gene:Rv0021c"	880.08	893	445.5	622.83	730.83	364	277.5	187	56	91	304.83	375.33
"putative_sRNA:p26134_26382"	95.5	113.5	116.5	160	255.5	108.5	26	26.5	13.5	55.5	101.5	154
"gene:Rv0022c"	47.5	37.83	405	518	283.17	190.5	23	24	4.5	11	107	48
"gene:Rv0023"	1361.37	1577.5	659.83	788.83	625.33	260.83	372.17	417.5	111.17	124.5	387.17	705.5
"gene:Rv0024"	1393.87	1374.5	518	767	662.83	240.33	582.42	468.83	166.67	181.17	428.5	870.5
"gene:Rv0025"	847.9	897.28	208.17	309.5	909.7	231.17	447.7	320	130.33	146.58	347.92	512.25
"putative_UTR:p29608_29682"	254.9	273.78	77.5	93.17	266.15	79.5	136.62	99.92	42.33	55	105.25	172.58
"putative_sRNA:m29672_30184"	384.33	441.33	711	922.33	1874.5	719	426.17	298.67	355	390	548	580.33
"putative_UTR:p29690_29721"	94.03	91.28	44.67	63.83	116.48	45.17	31.62	23.08	17	18.5	35.58	76.92
"gene:Rv0026"	1141.45	1038.7	669	935	662.15	231.58	202.58	165.75	65.17	96.17	215.92	422.92
"gene:Rv0027"	318.83	307.17	519.17	690.08	979.42	122.33	379.67	459.17	529.5	349.17	221.7	434.83
"putative_sRNA:m31259_31967"	928.83	951	427.33	608.5	1055.83	333.83	788.67	902.5	551.5	437.5	308.33	683.5
"gene:Rv0028"	242.08	218.33	315.5	478.92	519.75	73.5	207	245.5	408	276.33	127.87	277
"putative_sRNA:p31859_32007"	79.92	76	114.5	192	113	24	56.5	58.5	167.5	96.17	30.17	75.17
"gene:Rv0029"	2402.58	2411.33	551	788.5	2452.33	908.5	1124.33	892.08	361.17	333.83	1167.33	1380.08
"putative_UTR:p33155_33186"	68.5	63.5	16.67	28.33	83.17	29.67	32.17	25.08	9.67	13	47	56
"gene:Rv0030"	302.75	279.5	150	189.33	707.83	275.5	118.83	91.08	119.83	101	242.67	321.33
"putative_sRNA:m33460_33794"	131	180.5	140	212.83	398	168.25	93	84.33	33.5	49.5	136.17	252
"gene:Rv0031"	72.25	62.83	53.5	77.5	114.83	58.33	15.33	15.33	20.5	19.5	40.17	71.83
"gene:Rv0032"	554	552.58	240.5	379.75	494.67	160.33	157.5	133	32.83	31.5	112	233
"gene:Rv0033"	77	63.5	22	38	41.5	9.5	36	56.67	2.33	4	12	19.83
"gene:Rv0034"	127.33	140.17	27	52	80.17	11.5	52.5	84.92	7.83	5	35.5	62.83
"gene:Rv0035"	514.17	488.17	72.5	114	174.5	39.5	135.67	173.25	17	26.5	51.5	125.33
"putative_sRNA:m37575_37955"	155.5	150	92.5	127.5	282	71.5	72	43.33	64	54.5	68	160.5
"putative_sRNA:m38455_38597"	214.33	189.75	86	106.33	208.5	69.5	45	21	23.5	34	35.5	77
"putative_UTR:m38654_39055"	588	602.17	125.5	155.17	487	148.67	235.67	236	82.33	94.83	134.5	360.33
"gene:Rv0036c"	2555.25	2564	589.5	802	2185.67	660.67	1698.83	1420.67	447.67	514.5	692.17	1426
"putative_sRNA:p39302_39703"	242.83	269.5	63	91	221.33	52.33	95.83	121.5	66.5	82.33	74.5	104.5
"gene:Rv0037c"	2172.5	2255.25	773.33	1112.67	3153.83	1638.33	1948.33	1728.83	607.83	685.5	1166.5	2846.17
"gene:Rv0038"	4033.42	4623.33	1186.83	1532.33	5053.25	2232.33	3694.58	3962.5	1570.67	1512.83	2588.25	4999.17
"gene:Rv0039c"	2025.42	2328.75	334	449.17	810.5	170.83	1323	813	371.67	375	229.08	406
"gene:Rv0040c"	8791.53	8187.58	496	639.17	2825.75	545.33	6155.33	4411.17	1406	857.83	932.92	474.83
"putative_UTR:m43366_43400"	324.87	263.75	41	59.67	141.67	27.5	141.42	75.17	10.5	9.5	32	46
"gene:Rv0041"	4361.08	4326.17	1537.17	1912.67	3618	1020.67	1450.92	1153.33	758.33	682.83	1054.17	2857.67
"putative_sRNA:m45268_45647"	446.17	483.58	1446	1619.83	1077.25	484.5	516.17	534.83	1665.67	1258.83	426.5	1142.08
"putative_UTR:m46296_46580"	1507	1196.92	190.83	205.83	331.17	95.83	360.25	306.33	96.83	113.42	53	116.5
"gene:Rv0042c"	3411.75	2967	253.67	316	643.33	139.33	1182.92	1122.67	202	209.75	120.5	291.33
"putative_UTR:m47208_47365"	270.33	238.58	30.17	50.67	171.75	66.17	392.17	317.33	35.67	36.33	23.5	58.5
"gene:Rv0043c"	1004.75	990.7	291.67	420.53	812.08	285.67	995.33	933	308.33	256.17	142.67	227
"putative_sRNA:p47403_47791"	127	132.08	348	460.17	130.33	61	52.17	33.5	29	63	46.33	143.5
"putative_UTR:m48101_48133"	158.08	183.2	67.5	102.87	96.33	23.17	155.17	181.83	88.33	70.83	19.17	36.33
"gene:Rv0044c"	1342	1622.83	496.17	729	541.5	145.5	1342.25	1539.08	323.83	325.33	215.75	486.33
"gene:Rv0045c"	1348.28	1274.65	772.83	979.25	5187.59	1206.48	855.06	627.61	471.75	471.33	1899.56	2255.44
"putative_UTR:m49940_50020"	453.95	446.65	287.17	375.58	3355.84	665.15	967.26	715.56	298.58	270.83	1708.06	1336.44
"gene:Rv0046c"	3929.7	3996.95	2971.33	3780.36	39900.36	9751.14	9695.68	7641.31	2387.58	2230.83	19679.67	13972.19
"putative_sRNA:p50578_51199"	12263.75	11290.25	3108.08	3739	16641.75	9444.58	6451.17	4411.58	6944.5	8944	9705.08	18515.92
"putative_UTR:m51125_51184"	331.75	296.5	297.58	313.78	4423.81	1373.41	698.75	534.17	153.67	144.17	1422.61	1309.83
"gene:Rv0047c"	1559.5	1604.33	1334.67	1533.25	20379.61	8154.25	1927.37	1203.33	658.83	659.17	10314.06	6695.08
"putative_UTR:m51728_51827"	516.53	468.58	350	384.33	5280.33	2191.67	546.37	304.08	142.5	162.33	2728.15	1804
"gene:Rv0048c"	827.78	777	92.83	134.83	1054	248	306.42	218.67	70.5	80.67	315.5	1043.83
"putative_sRNA:p51981_52645"	1102.75	1011.42	618	839	3985.33	1909.67	434.83	275.5	309.5	306	3314.08	2625.17
"gene:Rv0049"	2982.58	3286.42	333	438.92	3794.7	954.5	1842.92	1486.67	485	458.5	1622.83	4031.37
"putative_UTR:p53245_53662"	2817.92	3165.7	221.5	321.58	2762.62	662.17	1644.58	1339.42	533.5	479.33	1186.67	3672.95
"gene:Rv0050"	12521.17	11799.53	522.5	732.5	5607.25	1271.92	3343.5	2979.33	1267.08	1170.5	2357.75	6382.75
"gene:Rv0051"	4025.33	4189.81	146.17	202.67	1328.17	238.75	1434.28	1413.53	450.75	402.42	468.42	1321.75
"putative_UTR:p57379_57409"	217.33	238.4	8.67	8.33	75	12.42	103.2	93.87	25.92	32.42	24.5	80.75
"gene:Rv0052"	1007	1053.73	38.17	57.83	324.33	58.75	394.87	354.03	100.58	108.42	123.17	283.75
"putative_UTR:p58110_58191"	479.33	422.58	90.5	108	995.83	327.33	205.67	131.67	52.92	62.67	215.08	426.08
"gene:Rv0053"	1245.03	1068.41	158	210.58	2692.61	789	476.83	347.33	116.5	196.67	467.5	1185.42
"putative_UTR:p58483_58585"	744.53	613.66	70.83	92.33	1170.03	340.17	270.25	220.25	88.58	108.25	187.92	510.42
"gene:Rv0054"	2038.21	1799.31	246.92	367.17	2884.49	715.6	909	706.53	209.17	254.08	443.68	1010.06
"putative_UTR:p59081_59121"	401.26	370.98	52.5	58.17	457.38	94.1	189.92	142.37	41.92	38.5	72.77	167.98
"gene:Rv0055"	1142.73	1110.98	169.42	194.08	1183.98	225.02	574.73	471.4	118.5	141.25	185.93	437.06
"putative_UTR:p59377_59408"	621.03	629.64	87.08	102.08	569.25	121.43	375.4	331.15	68.75	81.08	112.02	231.48
"gene:Rv0056"	3137.56	2897.84	323.5	424	2687.19	434.47	1665.23	1718.65	431.67	494.25	469.35	1161.85
"putative_UTR:p59868_59895"	639.4	627.2	58.17	100.08	537.95	77.7	383.5	334.53	118.5	121.5	106.83	242.95
"gene:Rv0057"	1628.9	1289.65	107.33	160.42	818.65	131.37	428.42	290.7	116.33	148.83	109.58	363.98
"gene:Rv0058"	7962.53	7491.12	476.5	654.7	2426.95	627.17	4826.33	3498.5	700.17	759.17	619.17	1319.03
"putative_UTR:p63021_63199"	372.12	329.75	14	25.87	98.33	18.67	176.83	129.83	34.17	35.5	26	50.5
"putative_sRNA:m63173_63565"	249.17	249.5	357	433	391.83	67	220.67	128.5	192.5	158.5	90.5	263.83
"gene:Rv0059"	537.62	516.92	28	43.17	147.83	25.67	130.08	121.33	31.83	21	33.5	73.17
"gene:Rv0060"	3034.95	2886.92	1074.83	1435.83	3211.75	1197	2763.2	2624.67	991.17	1009	1166.92	3728.17
"putative_UTR:m64746_65011"	1125	1189.08	296.5	390.33	2091.5	589.42	857.83	831.25	415.67	467.17	454.25	774.17
"putative_UTR:p64968_65108"	350	361.58	155	186.17	305.25	102.67	246.03	184.08	219.33	209.17	115.92	565.33
"gene:Rv0061c"	2656.58	2677.5	567.33	691.33	5181.42	1587.42	1642.83	1498.08	598.67	673	971.58	1577.83
"putative_UTR:m65351_65529"	908.75	786.58	183.33	199.33	2314.58	806.5	392	324.33	151.92	160.83	421.33	592
"gene:Rv0062"	2303.92	2213.42	242.5	303.5	2332.83	800.83	491.17	265.5	50.5	86.5	734.67	1934.83
"gene:Rv0063"	3102.5	2792.92	321.83	440.17	1753.83	181.83	2121.58	1208.33	600.17	1044.67	146	432.17
"putative_UTR:p68442_68619"	1137.17	1020.87	1987.25	2399.67	3012.7	950.17	1593.42	1483.08	2165.75	1792.42	1358.17	3397.12
"gene:Rv0064"	8958.42	7794.07	6340.67	8438.67	26997.53	8523.67	10357.23	9759.03	15330.75	9737.41	10364.95	34692.14
"putative_UTR:p71560_71588"	93.75	106.2	83.92	91.25	468.58	105.67	155.57	118.62	320.25	176.75	105.95	523.78
"gene:Rv0064A"	265.58	273.37	195.42	215.58	1103.91	266.83	287.9	220.78	603.83	329.91	219.45	1148.48
"gene:Rv0065"	373	351	182.92	208.83	961.33	287.67	264.42	174.67	466.33	280.67	200.17	1436.37
"putative_UTR:m72102_72273"	474.42	531.95	89.5	118.17	368.33	67	335.83	295	121.67	109.17	120	106.33
"gene:Rv0066c"	4641.25	4305.2	589	842.92	4727.33	1576.83	2952.67	2807.83	557.67	511.5	1514.5	1040.83
"putative_sRNA:p72675_72805"	42	21.5	51	60	129	46	8	4	13	16	38	98.83
"putative_sRNA:p74191_74512"	149	119.25	132.5	185	378.33	168	73	44	74	62.5	140	154.67
"gene:Rv0067c"	352.67	366.33	224.5	283.17	372.33	115.5	330.5	341.17	148.5	176.83	346.5	344.5
"gene:Rv0068"	227.5	211	202.5	231	1068.33	265.5	199.5	210.67	82	81	2570.83	689.5
"putative_UTR:m76166_76236"	94.42	99.67	34.5	28.5	45.5	18.5	23	15.33	5	12.5	43.33	46.5
"gene:Rv0069c"	1697.58	1473.42	189	276.75	580.83	306.25	357.5	287.5	69.33	106.83	926.83	694.58
"gene:Rv0070c"	1180.5	1059.67	186.5	280.33	716.67	384.75	227.17	194.83	43.33	58	835	683.67
"putative_UTR:m78897_79301"	1218.83	1122.67	106	146.5	2803.08	1315.17	836.67	607.33	89	123	1655.67	964.5
"gene:Rv0071"	172	192.17	113	161.5	103.83	37	83.33	66.33	22.33	31.83	64.5	106.83
"putative_sRNA:m79758_80403"	735.83	772.5	492	736.67	953	358.5	390	314.08	213	384.83	262.33	797
"putative_UTR:p80257_80623"	738.42	666.67	95.5	135.5	772.58	222	168.5	109	71.67	83.17	108.83	69.83
"gene:Rv0072"	4888.17	4189.08	310	464	2215	575.83	1238.17	844.67	269.5	348.83	508.67	654.5
"putative_sRNA:m81189_81855"	118	112.5	125	221.5	258	86	76.33	29.17	29.5	40	79	99
"gene:Rv0073"	4263.37	4002.33	275.17	325	1561.73	352.33	1854.25	1681.5	358.33	436.83	499.17	734.75
"putative_UTR:p82669_82747"	256.2	256.58	15.17	23.33	117.4	21.83	110.08	94.33	20.17	29.67	29.42	48.42
"gene:Rv0074"	2604.03	2623.08	234.17	320	908.57	207.83	1094	1026.5	300	360	390.58	556.42
"gene:Rv0075"	2470	2337.33	528.5	742	1245.17	329.83	996.17	822.08	408.67	418.33	348.33	685
"putative_UTR:p85169_85508"	554.17	559.08	162	205.5	460.67	172.33	219.67	181.75	70.5	94	147.83	285.33
"gene:Rv0076c"	162.5	144.17	324.5	493.83	595.5	333.67	67.83	52	43.5	31.08	362.92	654.17
"gene:Rv0077c"	194.83	215.33	1575.25	2161	1715.5	298.5	424.17	288.75	132.5	109.58	891.58	3186.08
"gene:Rv0078"	214.5	207	265	354.17	178.5	55	121.5	51	21.5	31.5	77.5	194.75
"putative_UTR:m87168_87207"	321.25	298.58	79	95.33	328	124	70.17	60.67	53.83	63	158.92	458.83
"gene:Rv0078A"	3006.17	3145.37	943.67	1128	4836.58	1733.25	1536.25	1216.78	966.67	679.5	2008.33	4699.5
"gene:Rv0078B"	1366.75	1448.12	532.67	646.67	2610.83	902.58	1272.25	1148.78	444	307	1094.92	2381.17
"putative_UTR:p88167_88203"	1447.82	2335.57	428.83	585	7623.7	3098.92	2794.25	1685.83	492.83	697.83	2949.33	2862.9
"gene:Rv0079"	19313.4	24871.9	3574.53	4802.08	72157.85	28834.58	38846.23	24637.73	4637.25	5578.42	36532	33544.07
"gene:Rv0080"	8191.66	9399.33	795.03	1146.08	21674.03	7628.25	18683.66	9939.88	1106.08	1435.25	14776	12065.91
"putative_UTR:p89481_89574"	1061.41	1199.25	80	109.33	2709.46	989.83	2012.18	993.31	116.75	146.58	1556.58	1078.2
"gene:Rv0081"	1953	1876.83	132.17	154	3874.68	1207.08	2595.59	1266.23	103.08	115.75	1319.83	1384.78
"gene:Rv0082"	2146.25	2109.42	176	218	3109.92	948.83	3698.33	1679.67	47.67	62.33	1092	1509.92
"gene:Rv0083"	4704.67	4466.83	378.33	529.17	4667	1195.17	6364.08	3018.17	103.67	116.75	2040.17	2877.67
"gene:Rv0084"	4696.92	3954.33	387.17	566.33	3685.17	649	8714.5	4469.53	245.17	312.75	1561.08	2071.5
"gene:Rv0085"	2115.83	1564.58	141	229.5	1361.17	222.5	4329.83	2299.87	37	57.83	663.5	936.83
"gene:Rv0086"	3989.5	3302	451.5	625.33	2351.33	377.17	6150.75	3534.25	210.5	272	963.33	1450.33
"gene:Rv0087"	1937.42	1440.33	190	235.33	1416.58	207.5	1825.08	1090.58	53.5	58	413.17	619.33
"gene:Rv0088"	2959.41	2578.25	367	546.83	5237.16	1784.33	2460.41	1822.83	1017.33	640.33	939	1203.25
"putative_UTR:p97602_97757"	853.75	824.45	121.67	177.83	1666.91	418.92	860.5	568.08	500.42	310.67	304.03	488.08
"gene:Rv0089"	823.25	722.2	256.67	356.5	1689.91	391.33	701.67	401.08	613.08	387.83	360.37	563.67
"gene:Rv0090"	168.33	112.83	110.5	183.5	270.5	86	124	58.5	88	91.5	72.83	112.5
"gene:Rv0091"	306.33	299	90	150	599.83	274.5	109.83	89.5	39.5	40.5	113.5	379.5
"gene:Rv0092"	2565.83	2812.5	492.75	752.5	1793.58	526	1138	924.5	970.5	981	555	1398.17
"gene:Rv0093c"	911.5	964.25	1277.67	1932.33	1015.17	325.5	480.67	402.5	347.5	214	453.5	708.58
"gene:Rv0094c"	81	88.5	217	395.33	85	39	70.5	64	24.5	21.5	27.33	63
"putative_sRNA:p103804_104664"	208.5	206.17	937.25	1194.5	627.5	563.83	128.5	140	162.5	198	2631.33	2596.25
"gene:Rv0095c"	89.5	89	750.5	1026	150.17	52	127	124	28.5	17.5	31.5	93
"gene:Rv0096"	507.83	536.33	84.5	136	575.17	204	116.17	80	31.83	24.5	59.5	253.92
"gene:Rv0097"	1017.58	1008.67	139.83	241.83	732.67	217.5	154.33	117	46.5	46.5	113.5	341.92
"gene:Rv0098"	744.17	685.33	117	137.67	396.83	110.5	79.83	89.33	51	45.5	71	154
"gene:Rv0099"	3292.25	3070.83	378	495.33	1514.17	337.33	341.67	265.33	196.5	164.5	299.83	806.83
"putative_sRNA:m108530_109526"	42.33	22	6704.83	8911.42	681	261.5	13.5	8.5	74.17	144	210.67	382
"putative_sRNA:m109544_110564"	2566.67	2397.75	7236.83	9488.83	5587.75	2721.33	683.17	452.83	687.17	560	2959.33	1401.67
"gene:Rv0100"	551.25	583.08	33	42.67	161	24.33	53.58	32.83	25	18.5	20.83	97.33
"gene:Rv0101"	15526.75	14877.67	1358.08	1835.83	2974.17	662	1585.17	1430.33	432.67	421.83	546	1765.17
"putative_sRNA:m112598_112895"	353	422.83	166.5	230	375.5	104	210.83	154.5	154	155.5	101	128
"putative_UTR:p117540_117713"	365.5	309.5	39.58	39.17	75.58	18	24.67	22.83	13.83	13.33	13.83	44.5
"gene:Rv0102"	5608.58	5481.83	3223.5	4308.58	3695.08	1167.67	5053.17	4315.42	1888.33	1583.83	1252.25	2968.33
"putative_UTR:p119700_120134"	710.08	683.08	541.5	750.83	356.75	67.5	443.5	375.67	369	272	121.33	350.67
"putative_UTR:m119837_119914"	203.83	177.58	35	50.5	165.67	37	51.83	38.5	22	26	34	76.83
"gene:Rv0103c"	6645.58	6872.33	1153	1648	4741	1573.5	2179.25	1654.67	853.33	803	1175.83	2374.33
"gene:Rv0104"	538	452.08	713	988.5	237	81.5	409.17	304.83	103.5	170.5	99.5	182.17
"putative_sRNA:m122618_123231"	898.08	905.33	822.33	1109.83	1367	619.83	280.33	176.67	197.33	349	741.33	1026.33
"gene:Rv0105c"	31	17.5	21	37.5	9	4	10.5	11	2	0	4	5
"gene:Rv0106"	2808.58	2602.75	1042	1573.33	415.5	77	2044.83	1003.33	141.5	186	130	170
"putative_UTR:m125508_125642"	170	162.08	39.83	37.33	171	41.67	87.67	90	16.5	26.5	74.33	61.17
"gene:Rv0107c"	8208.5	7693.92	726.17	1046.33	6111.83	2141.17	5931.83	5783.17	711.58	1309.67	5091.33	2934
"putative_sRNA:p127497_127625"	27	21.17	283	311.83	112	138.5	26	22.5	25	20	36.5	180
"putative_UTR:m130542_130894"	3115.7	2766.67	137.83	172.67	3912.33	2327.33	1869.08	1962.62	238.92	506.83	3458.42	2037.5
"gene:Rv0108c"	3960.03	3551.83	237.83	239	6797.75	3495.42	2788.67	2575.7	301.83	566	4637.42	2828.33
"gene:Rv0109"	411	414.92	285.5	435.67	1105.5	213.5	366	301	101.5	133.5	269.83	218
"gene:Rv0110"	696.33	632.33	156.83	212.33	362.33	85	240	217.33	64.5	104.83	118.83	184.83
"putative_UTR:p133860_133949"	125.33	140.17	46	39.67	68.58	16	46.67	34.5	13.33	18.33	8.17	29.17
"gene:Rv0111"	1080.08	1220.25	330.67	465.67	462.67	133.42	565.92	354.5	44.67	86.33	86.67	206.17
"putative_sRNA:m134166_134354"	63.33	54	146.5	192.5	167	30	59	56.33	157	144	46	65
"putative_sRNA:m134802_134977"	17	22.5	41	55	63	15	4	7	17.5	22	19	18
"putative_UTR:p136008_136086"	61.58	61.58	14.17	19.5	56.42	15.42	21.58	15.5	2	7.5	4.83	20.33
"putative_UTR:p136157_136288"	130.92	111.33	25.67	34.17	199.42	44.75	28.33	15.83	3	18.5	16.83	55.33
"gene:Rv0112"	998.42	853.67	532.17	693.25	2410.08	618.08	240.75	147.33	37	78.5	189.5	394.33
"putative_UTR:p137246_137318"	188.25	157	41.67	63.42	336.5	53.17	82.58	75.33	6	15.33	29.5	59.83
"gene:Rv0113"	689.92	615	154.92	246.92	959	153.67	352.25	365.83	31	54.83	100.17	272
"putative_sRNA:m137361_137693"	146.83	142.5	58.5	58	829.83	278.83	49	61.5	18	39	88.5	88
"putative_UTR:p137910_137940"	93.67	96.5	15.75	23.67	92.5	16.67	48.67	41.67	3.5	3	11	41.83
"gene:Rv0114"	339.92	335.58	78.25	99.17	279	45.67	229.83	213.33	10	18	37	132.33
"putative_sRNA:m138471_138603"	15	14.5	12	19	45.5	15	1	6.5	3	5	12	8
"gene:Rv0115"	755.08	712.33	128	188.5	418.33	69	528.08	434.67	38.83	71	74.5	219
"putative_UTR:p139674_139712"	80.5	91.67	25	36.5	77	14.5	97.58	80.83	11.33	19.5	20.5	32
"putative_UTR:m140233_140266"	61.92	57.25	58.33	64.03	587.75	166.33	77.58	57.5	56.42	35.33	171.08	337.5
"gene:Rv0116c"	922.58	942.58	548.83	674.78	7153	2318.83	1241.17	1205.5	804.17	452.5	1871.58	3490.67
"gene:Rv0117"	403.17	450.25	282.5	412.33	774.5	159.33	346.33	249.33	233.17	228	184.33	307.67
"gene:Rv0118c"	3481.83	3720	163.33	230	1189.33	531.5	3950.67	3744.58	213.5	157.5	409.5	1185.83
"putative_sRNA:p142180_142247"	26.83	24.5	13.5	25.33	44.33	14.33	15.33	6.83	5.83	6.5	11.17	17.17
"putative_sRNA:p142311_142586"	85.83	74.5	66	99.83	241	101.83	31.33	24	10.33	20.5	94.67	69.17
"gene:Rv0119"	1304.92	1181.5	312	419.5	1124.17	369.5	535.17	405	54.5	62.5	385.5	672
"putative_UTR:m145502_145626"	225.45	230.5	35	63.33	245.33	41.5	544	718	391	165.75	161.17	166.33
